customer_id,signup_date,acquisition_channel,preferred_device,engagement_score
CUS0040,2026-02-28,Paid Ads,Mobile,57.4
CUS0041,2024-09-16,Email,Desktop,62.1
CUS0042,2025-04-12,Referral,Desktop,6.3
CUS0043,2025-11-06,Referral,Mobile,40.7
CUS0044,2025-12-31,Organic Search,Mobile,9.0
CUS0045,2025-01-24,Social Media,Mobile,25.4
CUS0046,2025-10-15,Referral,Mobile,23.0
CUS0047,2024-09-30,Referral,Desktop,84.1
CUS0048,2025-08-31,Paid Ads,Mobile,59.5
CUS0049,2025-03-18,Paid Ads,Mobile,35.6
CUS0050,2024-10-26,Referral,Mobile,7.1
CUS0051,2024-09-24,Social Media,Mobile,64.2
CUS0052,2026-01-30,Direct,Desktop,51.0
CUS0053,2025-09-21,Social Media,Desktop,86.0
CUS0054,2025-03-05,Paid Ads,Desktop,48.0
CUS0055,2025-10-07,Referral,Tablet,56.3
CUS0056,2025-12-17,Email,Desktop,61.6
CUS0057,2025-05-14,Email,Mobile,22.2
CUS0058,2024-11-02,Organic Search,Mobile,64.7
CUS0059,2025-08-30,Paid Ads,Tablet,11.4
CUS0060,2025-10-19,Social Media,Mobile,35.7
CUS0061,2025-02-03,Email,Desktop,37.2
CUS0062,2025-08-02,Organic Search,Mobile,22.5
CUS0063,2025-12-16,Paid Ads,Desktop,31.4
CUS0064,2024-11-14,Direct,Mobile,80.7
CUS0065,2025-05-21,Email,Mobile,64.0
CUS0066,2025-04-07,Email,Mobile,80.9
CUS0067,2024-12-29,Referral,Desktop,54.7
CUS0068,2026-05-16,Paid Ads,Desktop,96.1
CUS0069,2024-12-03,Organic Search,Desktop,14.2
CUS0070,2026-04-17,Organic Search,Mobile,62.9
CUS0071,2026-07-13,Referral,Mobile,27.0
CUS0072,2024-08-27,Referral,Desktop,50.1
CUS0073,2026-01-08,Email,Desktop,20.3
CUS0074,2026-07-01,Organic Search,Desktop,35.8
CUS0075,2025-03-17,Organic Search,Tablet,59.2
CUS0076,2025-12-23,Paid Ads,Desktop,8.3
CUS0077,2025-10-02,Organic Search,Mobile,12.7
CUS0078,2024-09-18,Organic Search,Desktop,14.3
CUS0079,2025-06-17,Paid Ads,Mobile,63.7
CUS0080,2026-07-11,Social Media,Mobile,83.3
CUS0081,2025-04-03,Direct,Mobile,84.0
CUS0082,2026-03-31,Social Media,Desktop,19.6
CUS0083,2025-12-08,Direct,Tablet,55.3
CUS0084,2026-02-22,Email,Desktop,63.1
CUS0085,2024-10-20,Referral,Mobile,12.5
CUS0086,2026-05-22,Paid Ads,Desktop,15.1
CUS0087,2025-07-08,Referral,Desktop,60.0
CUS0088,2025-08-25,Paid Ads,Desktop,48.3
CUS0089,2025-06-30,Organic Search,Desktop,42.4
CUS0090,2025-06-02,Direct,Desktop,64.5
CUS0091,2026-05-11,Email,Mobile,83.1
CUS0092,2025-12-11,Paid Ads,Mobile,19.5
CUS0093,2025-06-20,Organic Search,Mobile,35.2
CUS0094,2026-05-06,Paid Ads,Desktop,41.9
CUS0095,2024-12-31,Email,Mobile,66.9
CUS0096,2024-12-31,Social Media,Mobile,36.4
CUS0097,2025-07-17,Organic Search,Mobile,90.7
CUS0098,2025-01-04,Paid Ads,Mobile,56.8
CUS0099,2025-09-24,Email,Mobile,80.6
CUS0100,2025-06-23,Direct,Mobile,81.3
CUS0101,2025-08-29,Email,Desktop,20.2
CUS0102,2026-04-16,Organic Search,Mobile,27.8
CUS0103,2026-03-21,Organic Search,Mobile,44.8
CUS0104,2025-07-07,Paid Ads,Tablet,41.5
CUS0105,2026-05-28,Direct,Desktop,12.6
CUS0106,2025-05-07,Social Media,Desktop,49.9
CUS0107,2025-12-08,Organic Search,Desktop,36.8
CUS0108,2025-09-25,Paid Ads,Tablet,25.2
CUS0109,2024-10-31,Email,Mobile,53.5
CUS0110,2024-11-24,Referral,Mobile,43.6
CUS0111,2025-08-27,Paid Ads,Tablet,24.6
CUS0112,2025-10-21,Social Media,Mobile,11.6
CUS0113,2024-12-29,Paid Ads,Tablet,66.3
CUS0114,2025-07-29,Social Media,Mobile,17.4
CUS0115,2025-02-21,Social Media,Mobile,87.4
CUS0116,2026-05-03,Social Media,Desktop,19.9
CUS0117,2025-03-10,Organic Search,Mobile,20.9
CUS0118,2025-06-22,Direct,Mobile,70.4
CUS0119,2026-02-23,Email,Tablet,53.8
CUS0120,2025-01-31,Paid Ads,Mobile,19.3
CUS0121,2025-07-11,Social Media,Tablet,93.8
CUS0122,2025-02-25,Direct,Mobile,36.2
CUS0123,2024-12-19,Direct,Mobile,35.3
CUS0124,2026-01-23,Referral,Mobile,55.1
CUS0125,2024-12-31,Email,Mobile,33.0
CUS0126,2024-08-26,Paid Ads,Mobile,59.7
CUS0127,2025-07-25,Organic Search,Desktop,76.0
CUS0128,2025-03-05,Paid Ads,Mobile,47.6
CUS0129,2025-01-28,Email,Mobile,62.7
CUS0130,2025-09-28,Direct,Mobile,43.6
CUS0131,2025-01-04,Direct,Desktop,12.9
CUS0132,2025-10-04,Paid Ads,Desktop,35.6
CUS0133,2024-11-09,Paid Ads,Mobile,59.7
CUS0134,2025-01-22,Paid Ads,Desktop,77.4
CUS0135,2025-07-10,Paid Ads,Desktop,20.5
CUS0136,2026-03-21,Organic Search,Mobile,43.9
CUS0137,2024-12-19,Paid Ads,Mobile,17.8
CUS0138,2025-04-30,Email,Tablet,60.1
CUS0139,2025-06-17,Paid Ads,Mobile,36.1
CUS0140,2025-03-05,Referral,Tablet,8.9
CUS0141,2024-08-25,Organic Search,Mobile,21.7
CUS0142,2025-07-25,Referral,Mobile,48.9
CUS0143,2025-10-24,Referral,Mobile,45.2
CUS0144,2024-11-17,Email,Mobile,15.8
CUS0145,2025-04-23,Paid Ads,Mobile,50.3
CUS0146,2025-08-27,Social Media,Mobile,18.1
CUS0147,2026-03-16,Email,Mobile,88.3
CUS0148,2025-08-30,Referral,Mobile,60.6
CUS0149,2024-10-04,Paid Ads,Mobile,42.4
CUS0150,2026-01-03,Email,Mobile,19.1
CUS0151,2024-09-18,Referral,Mobile,77.0
CUS0152,2024-10-16,Referral,Tablet,19.4
CUS0153,2024-12-06,Social Media,Mobile,16.7
CUS0154,2025-12-12,Direct,Desktop,38.7
CUS0155,2025-01-11,Email,Mobile,29.4
CUS0156,2025-03-22,Direct,Desktop,10.4
CUS0157,2024-10-31,Social Media,Mobile,53.0
CUS0158,2025-10-08,Direct,Mobile,55.5
CUS0159,2025-05-14,Referral,Mobile,70.5
CUS0160,2024-10-05,Organic Search,Tablet,81.2
CUS0161,2024-10-20,Referral,Mobile,62.9
CUS0162,2024-09-26,Paid Ads,Mobile,12.3
CUS0163,2026-05-11,Organic Search,Mobile,20.6
CUS0164,2026-06-30,Organic Search,Desktop,85.9
CUS0165,2026-05-16,Email,Mobile,16.0
CUS0166,2024-08-24,Referral,Mobile,48.6
CUS0167,2025-10-03,Paid Ads,Desktop,41.0
CUS0168,2025-05-24,Referral,Desktop,15.3
CUS0169,2025-10-03,Organic Search,Desktop,69.3
CUS0170,2026-05-31,Email,Mobile,10.9
CUS0171,2024-10-22,Email,Mobile,51.1
CUS0172,2025-08-08,Organic Search,Mobile,24.0
CUS0173,2025-12-20,Referral,Mobile,16.3
CUS0174,2026-06-17,Organic Search,Tablet,82.0
CUS0175,2026-05-01,Organic Search,Mobile,98.4
CUS0176,2025-07-02,Social Media,Mobile,45.6
CUS0177,2025-01-30,Social Media,Desktop,25.4
CUS0178,2026-03-14,Social Media,Tablet,12.5
CUS0179,2025-07-15,Social Media,Desktop,19.2
CUS0180,2025-11-06,Paid Ads,Mobile,91.5
CUS0181,2025-04-20,Email,Mobile,20.6
CUS0182,2025-12-20,Organic Search,Mobile,20.2
CUS0183,2024-11-09,Email,Desktop,18.5
CUS0184,2025-05-26,Email,Desktop,35.5
CUS0185,2026-03-20,Social Media,Tablet,9.6
CUS0186,2024-12-23,Direct,Tablet,87.9
CUS0187,2025-04-26,Email,Mobile,92.6
CUS0188,2024-10-04,Organic Search,Desktop,84.7
CUS0189,2024-10-14,Social Media,Mobile,68.5
CUS0190,2025-12-03,Paid Ads,Mobile,80.2
CUS0191,2025-03-24,Paid Ads,Mobile,55.7
CUS0192,2025-06-18,Paid Ads,Mobile,43.1
CUS0193,2025-09-21,Direct,Mobile,82.2
CUS0194,2026-07-17,Email,Mobile,64.8
CUS0195,2024-12-29,Paid Ads,Mobile,61.8
CUS0196,2025-11-03,Email,Desktop,16.2
CUS0197,2026-06-04,Social Media,Mobile,85.4
CUS0198,2024-09-17,Social Media,Mobile,59.5
CUS0199,2025-10-14,Organic Search,Desktop,8.1
CUS0200,2026-04-29,Referral,Desktop,60.2
CUS0201,2025-09-19,Referral,Desktop,8.9
CUS0202,2024-11-20,Social Media,Desktop,32.6
CUS0203,2025-02-12,Paid Ads,Desktop,19.0
CUS0204,2025-04-21,Paid Ads,Desktop,81.5
CUS0205,2025-12-25,Social Media,Desktop,41.0
CUS0206,2025-12-28,Direct,Mobile,93.3
CUS0207,2026-01-19,Referral,Mobile,21.8
CUS0208,2025-01-23,Referral,Desktop,10.1
CUS0209,2025-01-04,Email,Mobile,6.9
CUS0210,2025-12-31,Referral,Mobile,89.7
CUS0211,2025-12-23,Organic Search,Mobile,55.0
CUS0212,2024-11-02,Paid Ads,Mobile,54.4
CUS0213,2024-09-07,Paid Ads,Desktop,94.5
CUS0214,2026-05-25,Paid Ads,Desktop,26.6
CUS0215,2026-01-23,Direct,Mobile,27.4
CUS0216,2026-04-29,Social Media,Mobile,54.6
CUS0217,2025-11-13,Paid Ads,Desktop,14.1
CUS0218,2025-02-11,Referral,Desktop,25.1
CUS0219,2025-06-06,Paid Ads,Mobile,59.8
CUS0220,2025-09-10,Email,Desktop,22.4
CUS0221,2026-02-26,Email,Desktop,10.3
CUS0222,2026-04-09,Email,Tablet,62.4
CUS0223,2025-02-04,Referral,Desktop,58.5
CUS0224,2025-07-27,Paid Ads,Desktop,17.9
CUS0225,2026-07-07,Social Media,Desktop,20.1
CUS0226,2025-12-26,Referral,Desktop,88.2
CUS0227,2025-04-02,Email,Desktop,22.8
CUS0228,2025-07-02,Paid Ads,Mobile,21.0
CUS0229,2025-02-26,Organic Search,Mobile,12.5
CUS0230,2025-02-16,Email,Desktop,15.0
CUS0231,2026-05-05,Organic Search,Mobile,60.2
CUS0232,2024-11-29,Direct,Desktop,39.3
CUS0233,2025-05-29,Social Media,Desktop,22.1
CUS0234,2026-06-10,Direct,Tablet,13.6
CUS0235,2024-09-20,Organic Search,Mobile,68.5
CUS0236,2025-06-02,Direct,Mobile,85.4
CUS0237,2026-02-05,Referral,Tablet,21.0
CUS0238,2024-09-01,Social Media,Mobile,83.6
CUS0239,2026-06-28,Email,Desktop,37.1
CUS0240,2025-09-03,Paid Ads,Mobile,9.1
CUS0241,2026-06-24,Email,Mobile,59.9
CUS0242,2025-01-29,Referral,Mobile,72.7
CUS0243,2025-01-25,Organic Search,Mobile,43.4
CUS0244,2026-05-14,Email,Mobile,38.4
CUS0245,2025-12-29,Email,Mobile,85.2
CUS0246,2024-11-17,Paid Ads,Desktop,57.9
CUS0247,2026-01-19,Paid Ads,Tablet,57.7
CUS0248,2025-06-09,Organic Search,Mobile,37.3
CUS0249,2025-07-06,Organic Search,Mobile,7.1
CUS0250,2024-11-07,Direct,Mobile,51.8
CUS0251,2025-02-15,Email,Tablet,66.6
CUS0252,2025-01-17,Referral,Mobile,63.3
CUS0253,2026-05-20,Social Media,Desktop,82.1
CUS0254,2024-11-20,Email,Mobile,79.8
CUS0255,2025-09-07,Referral,Mobile,47.0
CUS0256,2026-06-11,Social Media,Mobile,36.0
CUS0257,2026-05-16,Email,Desktop,86.3
CUS0258,2025-03-08,Email,Mobile,16.6
CUS0259,2024-11-06,Email,Desktop,63.8
CUS0260,2026-03-06,Referral,Desktop,55.2
CUS0261,2025-12-28,Direct,Mobile,83.1
CUS0262,2026-01-16,Email,Mobile,20.1
CUS0263,2024-11-05,Email,Desktop,55.4
CUS0264,2025-12-06,Direct,Desktop,70.0
CUS0265,2025-04-22,Direct,Mobile,57.3
CUS0266,2025-06-03,Referral,Mobile,97.5
CUS0267,2025-10-08,Referral,Mobile,18.8
CUS0268,2025-05-08,Direct,Tablet,66.1
CUS0269,2026-02-27,Organic Search,Mobile,65.2
CUS0270,2024-10-07,Social Media,Desktop,20.9
CUS0271,2024-10-18,Organic Search,Desktop,23.2
CUS0272,2026-07-13,Paid Ads,Desktop,80.4
CUS0273,2025-08-18,Paid Ads,Mobile,67.9
CUS0274,2026-03-08,Direct,Desktop,17.4
CUS0275,2025-09-10,Social Media,Mobile,50.6
CUS0276,2025-11-10,Direct,Desktop,37.5
CUS0277,2024-11-16,Email,Mobile,98.6
CUS0278,2024-12-26,Referral,Mobile,23.7
CUS0279,2026-01-01,Organic Search,Desktop,17.2
CUS0280,2025-07-02,Organic Search,Mobile,22.4
CUS0281,2025-10-20,Direct,Desktop,31.6
CUS0282,2025-07-28,Organic Search,Tablet,47.0
CUS0283,2024-10-27,Paid Ads,Desktop,89.2
CUS0284,2025-02-04,Email,Mobile,44.2
CUS0285,2026-06-15,Social Media,Desktop,38.0
CUS0286,2025-04-19,Direct,Desktop,65.3
CUS0287,2025-01-28,Organic Search,Mobile,60.9
CUS0288,2025-12-31,Organic Search,Desktop,36.3
CUS0289,2025-02-18,Referral,Mobile,23.6
CUS0290,2026-05-22,Email,Mobile,24.8
CUS0291,2026-05-17,Organic Search,Mobile,61.6
CUS0292,2025-09-01,Paid Ads,Mobile,68.7
CUS0293,2025-10-05,Paid Ads,Desktop,39.3
CUS0294,2024-11-12,Referral,Desktop,15.2
CUS0295,2024-12-21,Paid Ads,Mobile,22.4
CUS0296,2025-05-29,Social Media,Mobile,21.4
CUS0297,2025-07-06,Referral,Desktop,6.9
CUS0298,2026-06-14,Organic Search,Mobile,23.6
CUS0299,2026-03-11,Referral,Mobile,35.9
CUS0300,2025-09-16,Direct,Desktop,44.3
CUS0301,2025-09-27,Organic Search,Tablet,29.8
CUS0302,2025-10-25,Paid Ads,Tablet,71.7
CUS0303,2025-08-05,Referral,Desktop,32.3
CUS0304,2025-06-09,Social Media,Mobile,22.7
CUS0305,2025-10-21,Direct,Mobile,24.6
CUS0306,2025-06-06,Organic Search,Desktop,47.2
CUS0307,2026-05-07,Direct,Tablet,48.8
CUS0308,2024-09-24,Paid Ads,Mobile,45.3
CUS0309,2025-07-24,Paid Ads,Mobile,97.6
CUS0310,2025-11-27,Organic Search,Mobile,22.7
CUS0311,2025-09-14,Direct,Mobile,45.8
CUS0312,2025-10-09,Paid Ads,Mobile,60.8
CUS0313,2026-01-02,Email,Mobile,49.7
CUS0314,2025-05-18,Email,Mobile,22.0
CUS0315,2024-11-07,Social Media,Mobile,50.5
CUS0316,2024-11-08,Paid Ads,Desktop,24.3
CUS0317,2026-03-27,Organic Search,Mobile,11.8
CUS0318,2025-03-14,Direct,Desktop,57.4
CUS0319,2025-02-09,Social Media,Desktop,83.4
CUS0320,2025-08-26,Referral,Tablet,22.4
CUS0321,2025-03-27,Paid Ads,Mobile,21.2
CUS0322,2024-12-28,Email,Desktop,58.4
CUS0323,2026-05-09,Organic Search,Mobile,33.3
CUS0324,2025-08-16,Organic Search,Desktop,21.1
CUS0325,2026-06-29,Social Media,Desktop,21.7
CUS0326,2024-09-15,Referral,Mobile,84.3
CUS0327,2025-07-17,Direct,Mobile,92.8
CUS0328,2026-01-05,Paid Ads,Desktop,24.5
CUS0329,2026-06-07,Referral,Mobile,82.0
CUS0330,2026-04-23,Social Media,Mobile,70.6
CUS0331,2026-01-05,Social Media,Mobile,41.4
CUS0332,2024-12-17,Email,Mobile,42.5
CUS0333,2024-09-02,Referral,Desktop,26.0
CUS0334,2025-12-25,Email,Tablet,76.6
CUS0335,2025-11-26,Social Media,Tablet,20.6
CUS0336,2024-12-05,Social Media,Mobile,55.5
CUS0337,2026-05-12,Organic Search,Mobile,38.6
CUS0338,2025-05-21,Social Media,Mobile,81.2
CUS0339,2025-05-28,Referral,Mobile,43.8
CUS0340,2025-07-30,Email,Mobile,95.8
CUS0341,2024-12-14,Social Media,Desktop,66.8
CUS0342,2026-05-22,Social Media,Desktop,62.1
CUS0343,2026-01-03,Paid Ads,Desktop,23.3
CUS0344,2025-01-17,Paid Ads,Desktop,48.9
CUS0345,2025-12-22,Email,Desktop,95.9
CUS0346,2026-06-05,Social Media,Desktop,12.1
CUS0347,2025-09-04,Organic Search,Tablet,21.1
CUS0348,2024-09-14,Social Media,Tablet,20.6
CUS0349,2025-01-14,Email,Tablet,69.1
CUS0350,2024-11-15,Paid Ads,Desktop,66.9
CUS0351,2026-01-03,Email,Mobile,66.5
CUS0352,2025-12-21,Email,Mobile,77.5
CUS0353,2026-04-04,Paid Ads,Desktop,91.0
CUS0354,2026-04-23,Email,Mobile,44.9
CUS0355,2026-01-08,Paid Ads,Desktop,71.0
CUS0356,2024-11-09,Social Media,Mobile,73.2
CUS0357,2025-04-05,Email,Mobile,15.7
CUS0358,2025-08-20,Direct,Mobile,38.3
CUS0359,2025-08-26,Organic Search,Mobile,84.7
CUS0360,2026-04-25,Direct,Mobile,39.2
CUS0361,2025-08-12,Direct,Mobile,56.1
CUS0362,2025-08-07,Email,Desktop,63.3
CUS0363,2025-01-31,Paid Ads,Mobile,70.9
CUS0364,2026-01-30,Social Media,Mobile,38.8
CUS0365,2024-11-24,Direct,Desktop,35.5
CUS0366,2025-10-09,Referral,Desktop,48.0
CUS0367,2026-06-10,Referral,Mobile,61.4
CUS0368,2025-04-29,Organic Search,Mobile,35.7
CUS0369,2025-05-24,Direct,Desktop,15.8
CUS0370,2024-10-19,Direct,Mobile,56.5
CUS0371,2025-06-30,Direct,Mobile,79.7
CUS0372,2025-01-07,Social Media,Desktop,92.4
CUS0373,2026-02-04,Direct,Mobile,23.2
CUS0374,2026-03-31,Social Media,Mobile,10.4
CUS0375,2025-04-27,Organic Search,Desktop,78.6
CUS0376,2025-08-21,Referral,Desktop,22.5
CUS0377,2025-01-13,Organic Search,Mobile,65.7
CUS0378,2025-08-11,Email,Mobile,47.3
CUS0379,2025-01-10,Social Media,Mobile,45.0
CUS0380,2024-08-28,Referral,Desktop,5.1
CUS0381,2024-09-12,Social Media,Mobile,80.8
CUS0382,2026-05-22,Referral,Mobile,49.9
CUS0383,2024-09-11,Paid Ads,Mobile,38.3
CUS0384,2025-07-29,Organic Search,Desktop,94.1
CUS0385,2025-11-02,Social Media,Desktop,67.8
CUS0386,2024-10-19,Email,Mobile,52.0
CUS0387,2026-03-25,Referral,Desktop,10.7
CUS0388,2025-10-15,Direct,Desktop,24.0
CUS0389,2024-12-15,Social Media,Mobile,20.1
CUS0390,2026-01-19,Organic Search,Tablet,26.7
CUS0391,2024-10-05,Social Media,Mobile,29.9
CUS0392,2025-06-27,Email,Desktop,13.5
CUS0393,2025-07-28,Social Media,Mobile,28.9
CUS0394,2025-12-09,Referral,Mobile,37.4
CUS0395,2026-04-24,Paid Ads,Mobile,48.0
CUS0396,2024-10-11,Paid Ads,Desktop,70.6
CUS0397,2026-07-19,Paid Ads,Desktop,32.2
CUS0398,2026-05-23,Organic Search,Mobile,57.6
CUS0399,2026-05-30,Organic Search,Mobile,24.2
CUS0400,2026-02-27,Paid Ads,Mobile,50.0
CUS0401,2025-02-22,Paid Ads,Mobile,47.4
CUS0402,2026-05-24,Social Media,Tablet,20.2
CUS0403,2026-04-09,Direct,Desktop,79.5
CUS0404,2025-03-10,Paid Ads,Mobile,53.9
CUS0405,2026-06-28,Direct,Mobile,97.9
CUS0406,2025-12-28,Social Media,Desktop,6.8
CUS0407,2024-12-19,Organic Search,Mobile,50.8
CUS0408,2024-10-29,Referral,Desktop,19.9
CUS0409,2025-08-08,Paid Ads,Desktop,82.5
CUS0410,2024-11-03,Email,Mobile,17.8
CUS0411,2024-11-07,Organic Search,Desktop,30.1
CUS0412,2024-10-04,Email,Mobile,24.7
CUS0413,2026-01-29,Direct,Mobile,16.4
CUS0414,2026-01-23,Organic Search,Mobile,56.6
CUS0415,2025-04-16,Social Media,Mobile,67.2
CUS0416,2026-07-21,Organic Search,Mobile,35.7
CUS0417,2026-01-17,Email,Mobile,19.7
CUS0418,2025-10-23,Referral,Desktop,67.7
CUS0419,2024-11-06,Direct,Mobile,16.7
CUS0420,2024-09-16,Social Media,Mobile,78.1
CUS0421,2025-11-24,Direct,Tablet,48.9
CUS0422,2025-02-02,Referral,Desktop,33.8
CUS0423,2025-07-05,Email,Tablet,82.4
CUS0424,2026-06-10,Social Media,Desktop,26.7
CUS0425,2025-10-16,Organic Search,Desktop,95.6
CUS0426,2025-03-17,Email,Desktop,5.7
CUS0427,2025-03-14,Referral,Desktop,43.7
CUS0428,2024-10-18,Email,Mobile,54.7
CUS0429,2025-05-08,Referral,Mobile,36.3
CUS0430,2024-09-12,Organic Search,Mobile,43.1
CUS0431,2025-09-08,Organic Search,Mobile,35.6
CUS0432,2025-03-07,Organic Search,Mobile,81.1
CUS0433,2025-05-14,Referral,Desktop,44.1
CUS0434,2024-11-24,Social Media,Desktop,51.6
CUS0435,2024-10-09,Email,Mobile,18.1
CUS0436,2024-12-09,Organic Search,Desktop,97.0
CUS0437,2024-09-21,Organic Search,Mobile,61.4
CUS0438,2025-11-13,Paid Ads,Tablet,21.3
CUS0439,2024-08-25,Direct,Desktop,57.4
CUS0440,2026-05-13,Paid Ads,Desktop,90.9
CUS0441,2025-11-06,Direct,Mobile,46.6
CUS0442,2025-02-27,Paid Ads,Desktop,78.3
CUS0443,2025-05-14,Direct,Mobile,81.9
CUS0444,2026-04-17,Social Media,Mobile,14.6
CUS0445,2025-04-01,Paid Ads,Mobile,82.5
CUS0446,2025-10-26,Paid Ads,Mobile,38.8
CUS0447,2025-01-11,Paid Ads,Mobile,19.2
CUS0448,2024-08-23,Social Media,Mobile,34.1
CUS0449,2026-03-02,Email,Mobile,44.2
CUS0450,2025-06-25,Social Media,Tablet,16.7
CUS0451,2026-07-02,Email,Desktop,49.9
CUS0452,2025-07-21,Direct,Mobile,18.6
CUS0453,2024-12-09,Social Media,Desktop,20.1
CUS0454,2024-09-26,Organic Search,Mobile,33.5
CUS0455,2025-01-13,Email,Desktop,18.6
CUS0456,2026-01-04,Referral,Desktop,47.8
CUS0457,2025-11-01,Referral,Tablet,59.0
CUS0458,2024-08-21,Social Media,Mobile,67.4
CUS0459,2025-01-14,Referral,Tablet,36.8
CUS0460,2024-10-21,Referral,Mobile,55.1
CUS0461,2026-01-30,Social Media,Mobile,46.0
CUS0462,2025-11-09,Organic Search,Mobile,26.1
CUS0463,2024-12-21,Email,Mobile,40.3
CUS0464,2025-12-04,Organic Search,Desktop,54.9
CUS0465,2025-02-08,Direct,Mobile,9.6
CUS0466,2026-04-24,Organic Search,Mobile,44.9
CUS0467,2026-06-08,Paid Ads,Desktop,12.6
CUS0468,2024-10-19,Referral,Mobile,16.6
CUS0469,2025-12-21,Email,Desktop,54.1
CUS0470,2026-03-13,Social Media,Mobile,32.4
CUS0471,2026-01-24,Organic Search,Desktop,91.3
CUS0472,2026-07-15,Referral,Desktop,69.3
CUS0473,2025-02-04,Social Media,Mobile,22.7
CUS0474,2024-11-05,Direct,Mobile,54.0
CUS0475,2026-07-10,Organic Search,Mobile,61.9
CUS0476,2025-05-29,Organic Search,Mobile,26.1
CUS0477,2025-11-08,Direct,Mobile,35.0
CUS0478,2025-04-07,Social Media,Desktop,43.5
CUS0479,2025-03-18,Direct,Mobile,55.8
CUS0480,2025-02-23,Paid Ads,Desktop,84.4
CUS0481,2026-06-19,Paid Ads,Desktop,73.0
CUS0482,2026-06-22,Social Media,Mobile,70.2
CUS0483,2024-09-28,Organic Search,Mobile,63.6
CUS0484,2026-05-18,Direct,Tablet,11.2
CUS0485,2025-08-01,Email,Mobile,64.9
CUS0486,2025-08-06,Organic Search,Mobile,40.6
CUS0487,2025-10-29,Referral,Mobile,47.1
CUS0488,2026-06-16,Referral,Desktop,40.3
CUS0489,2026-03-26,Direct,Mobile,10.1
CUS0490,2025-08-02,Social Media,Mobile,23.9
CUS0491,2026-05-06,Social Media,Desktop,40.7
CUS0492,2025-02-21,Social Media,Desktop,64.0
CUS0493,2024-11-26,Email,Desktop,16.5
CUS0494,2025-04-17,Direct,Mobile,56.1
CUS0495,2024-12-18,Referral,Mobile,34.3
CUS0496,2025-05-16,Paid Ads,Mobile,84.6
CUS0497,2025-03-24,Direct,Mobile,9.4
CUS0498,2026-06-19,Direct,Desktop,65.6
CUS0499,2025-07-05,Email,Mobile,38.7
CUS0500,2026-02-06,Social Media,Tablet,57.0
CUS0501,2026-03-14,Referral,Mobile,46.9
CUS0502,2024-10-31,Social Media,Desktop,14.9
CUS0503,2024-12-20,Social Media,Desktop,23.8
CUS0504,2026-04-26,Paid Ads,Desktop,56.9
CUS0505,2024-08-30,Social Media,Tablet,29.1
CUS0506,2025-07-13,Paid Ads,Mobile,50.6
CUS0507,2025-05-13,Paid Ads,Tablet,60.8
CUS0508,2026-06-16,Referral,Mobile,53.8
CUS0509,2024-11-10,Direct,Desktop,65.1
CUS0510,2024-10-02,Email,Tablet,42.8
CUS0511,2025-01-30,Referral,Desktop,20.0
CUS0512,2026-03-23,Social Media,Desktop,34.6
CUS0513,2025-07-18,Social Media,Mobile,90.9
CUS0514,2025-10-07,Direct,Desktop,34.9
CUS0515,2025-10-20,Paid Ads,Mobile,5.9
CUS0516,2025-07-04,Referral,Mobile,67.0
CUS0517,2025-03-08,Organic Search,Mobile,84.6
